STATION,DATE,TMIN
GHCND:USC00280907,20100102,28
GHCND:USC00280907,20100103,17
GHCND:USC00280907,20100104,18
GHCND:USC00280907,20100105,19
GHCND:USC00280907,20100107,28
GHCND:USC00280907,20100108,28
GHCND:USC00280907,20100109,19
GHCND:USC00280907,20100110,12
GHCND:USC00280907,20100111,13
GHCND:USC00280907,20100112,17
GHCND:USC00280907,20100113,22
GHCND:USC00280907,20100114,21
GHCND:USC00280907,20100115,20
GHCND:USC00280907,20100116,29
GHCND:USC00280907,20100117,28
GHCND:USC00280907,20100118,30
GHCND:USC00280907,20100119,30
GHCND:USC00280907,20100120,27
GHCND:USC00280907,20100121,25
GHCND:USC00280907,20100122,24
GHCND:USC00280907,20100123,26
GHCND:USC00280907,20100124,24
GHCND:USC00280907,20100125,27
GHCND:USC00280907,20100126,35
GHCND:USC00280907,20100127,28
GHCND:USC00280907,20100128,27
GHCND:USC00280907,20100129,15
GHCND:USC00280907,20100130,12
GHCND:USC00280907,20100131,12
GHCND:USC00280907,20100201,12
GHCND:USC00280907,20100202,21
GHCND:USC00280907,20100203,21
GHCND:USC00280907,20100204,26
GHCND:USC00280907,20100206,26
GHCND:USC00280907,20100207,15
GHCND:USC00280907,20100208,16
GHCND:USC00280907,20100209,22
GHCND:USC00280907,20100210,27
GHCND:USC00280907,20100211,27
GHCND:USC00280907,20100212,25
GHCND:USC00280907,20100213,24
GHCND:USC00280907,20100214,24
GHCND:USC00280907,20100215,25
GHCND:USC00280907,20100216,26
GHCND:USC00280907,20100217,21
GHCND:USC00280907,20100218,21
GHCND:USC00280907,20100219,33
GHCND:USC00280907,20100220,35
GHCND:USC00280907,20100221,30
GHCND:USC00280907,20100224,34
GHCND:USC00280907,20100225,33
GHCND:USC00280907,20100227,28
GHCND:USC00280907,20100228,28
GHCND:USC00280907,20100301,29
GHCND:USC00280907,20100302,31
GHCND:USC00280907,20100303,31
GHCND:USC00280907,20100304,34
GHCND:USC00280907,20100305,34
GHCND:USC00280907,20100306,28
GHCND:USC00280907,20100307,29
GHCND:USC00280907,20100308,35
GHCND:USC00280907,20100309,36
GHCND:USC00280907,20100311,34
GHCND:USC00280907,20100313,40
GHCND:USC00280907,20100314,41
GHCND:USC00280907,20100315,41
GHCND:USC00280907,20100316,41
GHCND:USC00280907,20100317,33
GHCND:USC00280907,20100318,33
GHCND:USC00280907,20100319,34
GHCND:USC00280907,20100320,38
GHCND:USC00280907,20100321,43
GHCND:USC00280907,20100322,44
GHCND:USC00280907,20100323,51
GHCND:USC00280907,20100324,42
GHCND:USC00280907,20100326,35
GHCND:USC00280907,20100327,26
GHCND:USC00280907,20100328,26
GHCND:USC00280907,20100329,30
GHCND:USC00280907,20100330,43
GHCND:USC00280907,20100331,40
GHCND:USC00280907,20100401,42
GHCND:USC00280907,20100402,41
GHCND:USC00280907,20100403,43
GHCND:USC00280907,20100404,47
GHCND:USC00280907,20100405,45
GHCND:USC00280907,20100407,54
GHCND:USC00280907,20100408,55
GHCND:USC00280907,20100409,56
GHCND:USC00280907,20100410,42
GHCND:USC00280907,20100411,42
GHCND:USC00280907,20100412,42
GHCND:USC00280907,20100413,43
GHCND:USC00280907,20100414,36
GHCND:USC00280907,20100415,37
GHCND:USC00280907,20100416,45
GHCND:USC00280907,20100417,46
GHCND:USC00280907,20100418,41
GHCND:USC00280907,20100419,41
GHCND:USC00280907,20100420,42
GHCND:USC00280907,20100421,44
GHCND:USC00280907,20100422,44
GHCND:USC00280907,20100423,43
GHCND:USC00280907,20100424,40
GHCND:USC00280907,20100425,41
GHCND:USC00280907,20100426,45
GHCND:USC00280907,20100427,47
